ID,Parking,Phone,Description,Renovation_type,Balcony,Windows,WC,Chld_pets_allowed,Lift,Refuse_chute,City,Price_per_month,Res_complex_name,Total_sqr_mtr,Rooms_qty,Room_type,Station,Line,AdmArea,District,Floor,N_of_floor,Bld_type,Furniture_rooms,Furniture_kitchen,Street,Bld.,Time_to_subway,Accessibility,price_per_m,Ceiling_height
274570891,0,1,1,3,1,1,1,1,1,0,1,10.239995502805316,170,3.4657359027997265,1,0,2,24,11,0,3,8,0,1,1,1222,1008,1,2,6.807079115098675,2.64
274702561,0,1,1,4,1,1,1,2,1,0,1,10.714439990727769,170,4.007333185232471,2,1,186,24,11,0,3,8,3,1,1,687,1420,5,2,6.7266330027636645,2.64
274822760,3,1,1,3,1,1,1,0,1,0,1,10.819798284210286,170,3.673765816303888,1,0,2,24,11,0,15,17,6,1,1,280,859,15,2,7.17248853005551,2.64
162594755,3,1,1,4,0,1,1,1,1,0,1,10.915088464214607,170,3.8918202981106265,2,3,186,24,11,0,3,9,3,1,1,844,685,5,2,7.044741633845172,3.2
270699781,0,1,1,4,1,1,1,2,1,0,1,10.985309671896763,170,4.382026634673881,3,1,2,24,11,0,12,16,6,0,0,1393,498,6,2,6.617182957833284,2.64
274465521,3,1,1,4,1,1,1,1,1,0,1,11.289794413577894,170,4.330733340286331,3,1,2,24,11,0,16,16,6,1,1,844,1867,3,2,6.973230860941048,2.64
235025938,3,1,1,3,1,1,1,1,1,0,1,11.350418300109132,136,3.9318256327243257,2,1,2,24,11,0,9,19,5,1,1,1333,872,15,2,7.438971592395862,3.0
273145564,3,1,1,3,1,1,1,2,1,1,1,11.461642696843066,170,4.61512051684126,3,2,2,24,11,0,24,24,3,1,1,1222,1778,6,2,6.85751406254539,2.64
274657932,0,1,1,3,1,1,1,2,1,1,1,11.51293546492023,170,4.454347296253507,3,1,2,24,11,0,5,8,3,0,1,1393,817,2,2,7.07112384743449,3.0
234796840,0,1,1,3,1,1,1,0,1,1,1,10.757924157061597,170,3.86702563949741,1,0,2,24,11,0,5,9,3,1,1,844,456,4,2,6.9130149270245616,2.64
274907854,0,1,1,3,1,0,1,1,1,0,1,10.819798284210286,170,3.7612001156935624,2,0,2,24,11,0,5,8,0,1,1,1222,1008,1,2,7.0829483135243585,2.64
274827826,3,1,1,3,1,1,1,2,1,0,1,11.407576060361786,170,4.7535901911063645,4,0,2,24,11,0,6,16,6,1,1,1694,1195,9,2,6.663909783063655,2.8
274881748,0,1,1,4,0,0,1,0,1,0,1,10.434145214930487,170,3.6109179126442243,1,0,2,24,11,0,7,14,0,1,1,1349,1882,12,2,6.851655128513338,2.64
274216707,3,1,1,4,1,1,1,1,1,0,1,10.518700218288165,170,3.713572066704308,1,0,2,24,11,0,17,17,3,1,1,280,859,12,2,6.8308742346461795,2.64
274667726,3,1,1,3,1,1,1,2,1,0,1,10.668978650219241,170,3.6635616461296463,1,0,2,24,11,0,10,17,3,1,1,280,859,10,2,7.032252565628104,2.64
274929619,3,1,1,3,1,1,1,1,0,1,1,11.002116507732017,170,4.07753744390572,3,2,2,24,11,0,2,4,0,1,1,1694,949,7,2,6.942623030403143,2.65
273606705,5,1,1,1,0,1,1,1,1,1,1,11.407576060361786,170,4.6913478822291435,3,2,186,24,11,0,17,27,4,1,0,687,1479,9,2,6.7266330027636645,3.0
274103796,0,1,1,2,1,1,1,2,1,0,1,11.51293546492023,91,4.147885329150131,2,3,2,24,11,0,3,17,5,1,1,1393,1648,11,2,7.381586845192885,2.64
189268775,0,1,1,4,0,1,1,0,0,1,1,10.434145214930487,170,3.6109179126442243,1,0,2,24,11,0,1,5,3,1,1,1674,1199,14,2,6.851655128513338,2.64
273780050,3,1,1,3,1,1,1,1,0,0,1,10.668978650219241,170,3.8501476017100584,2,3,2,24,11,0,4,5,0,1,1,1349,1671,10,2,6.841383193835029,2.48
274748256,0,1,1,1,0,0,0,0,0,1,1,10.714439990727769,170,3.6506582412937387,2,0,2,24,11,0,4,4,3,0,0,1222,772,6,2,7.0909098220799835,2.64
274567866,0,1,1,4,1,0,1,0,1,0,1,10.714439990727769,170,3.4965075614664802,1,0,2,24,11,0,3,8,0,1,1,1222,1009,3,2,7.249392724344136,2.64
